journal_name,JCR_abbreviation,ISSN,eISSN,2021_JIF,JIF_quartile,pct_OA_gold,total_articles,subfield
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,J STRATEGIC INF SYST,0963-8687,1873-1198,14.682,Q1,17.74%,16,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
ACM COMPUTING SURVEYS,ACM COMPUT SURV,0360-0300,1557-7341,14.324,Q1,0.22%,157,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
IEEE Transactions on Neural Networks and Learning Systems,IEEE T NEUR NET LEAR,2162-237X,2162-2388,14.255,Q1,2.98%,"1,396","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
IEEE Transactions on Neural Networks and Learning Systems,IEEE T NEUR NET LEAR,2162-237X,2162-2388,14.255,Q1,2.98%,"1,396","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"
IEEE Transactions on Neural Networks and Learning Systems,IEEE T NEUR NET LEAR,2162-237X,2162-2388,14.255,Q1,2.98%,"1,396","COMPUTER SCIENCE, THEORY & METHODS - SCIE"
COMMUNICATIONS OF THE ACM,COMMUN ACM,0001-0782,1557-7317,14.065,Q1,0%,73,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"
COMMUNICATIONS OF THE ACM,COMMUN ACM,0001-0782,1557-7317,14.065,Q1,0%,73,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
COMMUNICATIONS OF THE ACM,COMMUN ACM,0001-0782,1557-7317,14.065,Q1,0%,73,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
ARTIFICIAL INTELLIGENCE,ARTIF INTELL,0004-3702,1872-7921,14.05,Q1,14.24%,129,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
BRIEFINGS IN BIOINFORMATICS,BRIEF BIOINFORM,1467-5463,1477-4054,13.994,Q1,22.85%,578,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE
IEEE Transactions on Affective Computing,IEEE T AFFECT COMPUT,1949-3045,1949-3045,13.99,Q1,2.19%,80,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
IEEE Transactions on Affective Computing,IEEE T AFFECT COMPUT,1949-3045,1949-3045,13.99,Q1,2.19%,80,"COMPUTER SCIENCE, CYBERNETICS - SCIE"
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,1361-8415,1361-8423,13.828,Q1,19.09%,412,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,1361-8415,1361-8423,13.828,Q1,19.09%,412,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,1361-8415,1361-8423,13.828,Q1,19.09%,412,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION,0920-5691,1573-1405,13.369,Q1,21.04%,129,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Foundations and Trends in Information Retrieval,FOUND TRENDS INF RET,1554-0669,1554-0677,13.286,Q1,0%,3,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
IEEE WIRELESS COMMUNICATIONS,IEEE WIREL COMMUN,1536-1284,1558-0687,12.777,Q1,0%,148,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"
IEEE WIRELESS COMMUNICATIONS,IEEE WIREL COMMUN,1536-1284,1558-0687,12.777,Q1,0%,148,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE T FUZZY SYST,1063-6706,1941-0034,12.253,Q1,1.75%,326,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Annual Review of Control Robotics and Autonomous Systems,ANNU REV CONTR ROBOT,2573-5144,2573-5144,11.943,Q1,0%,26,AUTOMATION & CONTROL SYSTEMS - SCIE
Annual Review of Control Robotics and Autonomous Systems,ANNU REV CONTR ROBOT,2573-5144,2573-5144,11.943,Q1,0%,26,ROBOTICS - SCIE
Journal of Industrial Information Integration,J IND INF INTEGR,2467-964X,2452-414X,11.718,Q1,6.84%,44,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
IEEE Transactions on Industrial Informatics,IEEE T IND INFORM,1551-3203,1941-0050,11.648,Q1,4.03%,801,AUTOMATION & CONTROL SYSTEMS - SCIE
IEEE Transactions on Industrial Informatics,IEEE T IND INFORM,1551-3203,1941-0050,11.648,Q1,4.03%,801,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
Wiley Interdisciplinary Reviews-Computational Molecular Science,WIRES COMPUT MOL SCI,1759-0876,1759-0884,11.5,Q1,17.24%,19,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE
IEEE Transactions on Systems Man Cybernetics-Systems,IEEE T SYST MAN CY-S,2168-2216,2168-2232,11.471,Q1,2.02%,"1,028",AUTOMATION & CONTROL SYSTEMS - SCIE
IEEE Transactions on Systems Man Cybernetics-Systems,IEEE T SYST MAN CY-S,2168-2216,2168-2232,11.471,Q1,2.02%,"1,028","COMPUTER SCIENCE, CYBERNETICS - SCIE"
COMPUTERS IN INDUSTRY,COMPUT IND,0166-3615,1872-6194,11.245,Q1,10.20%,143,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
COMPUTERS & EDUCATION,COMPUT EDUC,0360-1315,1873-782X,11.182,Q1,11.44%,198,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
JOURNAL OF NUCLEAR MEDICINE,J NUCL MED,0161-5505,1535-5667,11.082,Q1,10.06%,263,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,1057-7149,1941-0042,11.041,Q1,4.93%,703,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
IEEE TRANSACTIONS ON MEDICAL IMAGING,IEEE T MED IMAGING,0278-0062,1558-254X,11.037,Q1,11.82%,324,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
IEEE TRANSACTIONS ON MEDICAL IMAGING,IEEE T MED IMAGING,0278-0062,1558-254X,11.037,Q1,11.82%,324,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
IEEE Transactions on Services Computing,IEEE T SERV COMPUT,1939-1374,1939-1374,11.019,Q1,1.28%,152,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
IEEE Transactions on Services Computing,IEEE T SERV COMPUT,1939-1374,1939-1374,11.019,Q1,1.28%,152,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
Journal of Big Data,J BIG DATA-GER,N/A,2196-1115,10.835,Q1,99.47%,157,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
CLINICAL NUCLEAR MEDICINE,CLIN NUCL MED,0363-9762,1536-0229,10.782,Q1,6.61%,82,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
ANNUAL REVIEWS IN CONTROL,ANNU REV CONTROL,1367-5788,1872-9088,10.699,Q1,12.57%,0,AUTOMATION & CONTROL SYSTEMS - SCIE
ACM Transactions on Intelligent Systems and Technology,ACM T INTEL SYST TEC,2157-6904,2157-6912,10.489,Q1,0%,81,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
ACM Transactions on Intelligent Systems and Technology,ACM T INTEL SYST TEC,2157-6904,2157-6912,10.489,Q1,0%,81,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
INFORMATION & MANAGEMENT,INFORM MANAGE-AMSTER,0378-7206,1872-7530,10.328,Q1,6.90%,118,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
INFORMATION & MANAGEMENT,INFORM MANAGE-AMSTER,0378-7206,1872-7530,10.328,Q1,6.90%,118,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
IEEE NETWORK,IEEE NETWORK,0890-8044,1558-156X,10.294,Q1,0%,249,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"
IEEE NETWORK,IEEE NETWORK,0890-8044,1558-156X,10.294,Q1,0%,249,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
Swarm and Evolutionary Computation,SWARM EVOL COMPUT,2210-6502,2210-6510,10.267,Q1,2.45%,138,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Swarm and Evolutionary Computation,SWARM EVOL COMPUT,2210-6502,2210-6510,10.267,Q1,2.45%,138,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
IEEE Internet of Things Journal,IEEE INTERNET THINGS,2327-4662,2327-4662,10.238,Q1,4.74%,"1,312","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,ROBOT CIM-INT MANUF,0736-5845,1879-2537,10.103,Q1,5.57%,204,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,ROBOT CIM-INT MANUF,0736-5845,1879-2537,10.103,Q1,5.57%,204,ROBOTICS - SCIE
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,COMPUT-AIDED CIV INF,1093-9687,1467-8667,10.066,Q1,11.04%,126,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
INVESTIGATIVE RADIOLOGY,INVEST RADIOL,0020-9996,1536-0210,10.065,Q1,9.93%,80,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,EUR J NUCL MED MOL I,1619-7070,1619-7089,10.057,Q1,39.13%,316,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
IEEE Computational Intelligence Magazine,IEEE COMPUT INTELL M,1556-603X,1556-6048,9.809,Q1,5.88%,20,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
NEURAL NETWORKS,NEURAL NETWORKS,0893-6080,1879-2782,9.657,Q1,10.17%,411,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Photoacoustics,PHOTOACOUSTICS,2213-5979,2213-5979,9.656,Q1,99.45%,81,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
ARTIFICIAL INTELLIGENCE REVIEW,ARTIF INTELL REV,0269-2821,1573-7462,9.588,Q1,7.66%,129,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,IEEE T SOFTWARE ENG,0098-5589,1939-3520,9.322,Q1,4.71%,152,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
Research Synthesis Methods,RES SYNTH METHODS,1759-2879,1759-2887,9.308,Q1,43.01%,53,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE T KNOWL DATA EN,1041-4347,1558-2191,9.235,Q1,5.75%,268,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE T KNOWL DATA EN,1041-4347,1558-2191,9.235,Q1,5.75%,268,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
Transactions of the Association for Computational Linguistics,T ASSOC COMPUT LING,N/A,2307-387X,9.194,Q1,93.09%,90,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
TELEMATICS AND INFORMATICS,TELEMAT INFORM,0736-5853,N/A,9.14,Q1,6.42%,170,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
European Heart Journal-Cardiovascular Imaging,EUR HEART J-CARD IMG,2047-2404,2047-2412,9.13,Q1,13.89%,214,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,EUR J INFORM SYST,0960-085X,1476-9344,9.011,Q1,22.82%,49,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,EUR J INFORM SYST,0960-085X,1476-9344,9.011,Q1,22.82%,49,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
Journal of King Saud University-Computer and Information Sciences,J KING SAUD UNIV-COM,1319-1578,2213-1248,9,Q1,99.32%,132,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,INT J INTELL SYST,0884-8173,1098-111X,8.993,Q1,2.83%,422,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Computer Science Review,COMPUT SCI REV,1574-0137,1876-7745,8.757,Q1,6.17%,0,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
Computer Science Review,COMPUT SCI REV,1574-0137,1876-7745,8.757,Q1,6.17%,0,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
Computer Science Review,COMPUT SCI REV,1574-0137,1876-7745,8.757,Q1,6.17%,0,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
Journal of Knowledge Management,J KNOWL MANAG,1367-3270,1758-7484,8.689,Q1,3.88%,155,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
ULTRASOUND IN OBSTETRICS & GYNECOLOGY,ULTRASOUND OBST GYN,0960-7692,1469-0705,8.678,Q1,16.11%,177,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,0957-4174,1873-6793,8.665,Q1,3.41%,"1,806","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Circulation-Cardiovascular Imaging,CIRC-CARDIOVASC IMAG,1941-9651,1942-0080,8.589,Q1,11.43%,67,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
PATTERN RECOGNITION,PATTERN RECOGN,0031-3203,1873-5142,8.518,Q1,3.47%,740,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
MIS QUARTERLY,MIS QUART,0276-7783,N/A,8.513,Q1,0%,74,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
MIS QUARTERLY,MIS QUART,0276-7783,N/A,8.513,Q1,0%,74,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
GOVERNMENT INFORMATION QUARTERLY,GOV INFORM Q,0740-624X,1872-9517,8.49,Q1,22.33%,59,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
Journal of Cheminformatics,J CHEMINFORMATICS,1758-2946,1758-2946,8.489,Q1,100%,96,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
Journal of Cheminformatics,J CHEMINFORMATICS,1758-2946,1758-2946,8.489,Q1,100%,96,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
APPLIED SOFT COMPUTING,APPL SOFT COMPUT,1568-4946,1872-9681,8.263,Q1,2.97%,"1,117","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
APPLIED SOFT COMPUTING,APPL SOFT COMPUT,1568-4946,1872-9681,8.263,Q1,2.97%,"1,117","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
INFORMATION SCIENCES,INFORM SCIENCES,0020-0255,1872-6291,8.233,Q1,2.64%,"1,423","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
IEEE TRANSACTIONS ON MULTIMEDIA,IEEE T MULTIMEDIA,1520-9210,1941-0077,8.182,Q1,3.07%,351,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
IEEE TRANSACTIONS ON MULTIMEDIA,IEEE T MULTIMEDIA,1520-9210,1941-0077,8.182,Q1,3.07%,351,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,ARCH COMPUT METHOD E,1134-3060,1886-1784,8.171,Q1,8.90%,7,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,IEEE T IND ELECTRON,0278-0046,1557-9948,8.162,Q1,2.10%,"1,201",AUTOMATION & CONTROL SYSTEMS - SCIE
KNOWLEDGE-BASED SYSTEMS,KNOWL-BASED SYST,0950-7051,1872-7409,8.139,Q1,2.73%,938,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
ENGINEERING WITH COMPUTERS,ENG COMPUT-GERMANY,0177-0667,1435-5663,8.083,Q1,1.90%,430,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
Mathematical Programming Computation,MATH PROGRAM COMPUT,1867-2949,1867-2957,8.059,Q1,22.58%,11,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,INT J RADIAT ONCOL,0360-3016,1879-355X,8.013,Q1,11.30%,393,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
JOURNAL OF BIOMEDICAL INFORMATICS,J BIOMED INFORM,1532-0464,1532-0480,8,Q1,7.42%,234,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
JOURNAL OF BIOMEDICAL INFORMATICS,J BIOMED INFORM,1532-0464,1532-0480,8,Q1,7.42%,234,MEDICAL INFORMATICS - SCIE
CAAI Transactions on Intelligence Technology,CAAI T INTELL TECHNO,2468-6557,2468-2322,7.985,Q1,90.30%,62,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,J AM MED INFORM ASSN,1067-5027,1527-974X,7.942,Q1,29.51%,329,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,J AM MED INFORM ASSN,1067-5027,1527-974X,7.942,Q1,29.51%,329,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,J AM MED INFORM ASSN,1067-5027,1527-974X,7.942,Q1,29.51%,329,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,J AM MED INFORM ASSN,1067-5027,1527-974X,7.942,Q1,29.51%,329,MEDICAL INFORMATICS - SCIE
ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM,1474-0346,1873-5320,7.862,Q1,5.54%,202,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
IEEE-CAA Journal of Automatica Sinica,IEEE-CAA J AUTOMATIC,2329-9266,2329-9274,7.847,Q1,0%,135,AUTOMATION & CONTROL SYSTEMS - SCIE
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,ENG APPL ARTIF INTEL,0952-1976,1873-6769,7.802,Q1,4.08%,404,AUTOMATION & CONTROL SYSTEMS - SCIE
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,ENG APPL ARTIF INTEL,0952-1976,1873-6769,7.802,Q1,4.08%,404,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Soft Robotics,SOFT ROBOT,2169-5172,2169-5180,7.784,Q1,13.36%,77,ROBOTICS - SCIE
COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,0891-2017,1530-9312,7.778,Q1,98.36%,25,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,0891-2017,1530-9312,7.778,Q1,98.36%,25,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
INFORMATION SYSTEMS JOURNAL,INFORM SYST J,1350-1917,1365-2575,7.767,Q1,23.02%,39,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,INT J ELECTRON COMM,1086-4415,1557-9301,7.73,Q1,6.78%,22,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
Computers and Concrete,COMPUT CONCRETE,1598-8198,1598-818X,7.628,Q1,0%,94,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,J MANAGE INFORM SYST,0742-1222,1557-928X,7.582,Q1,11.67%,41,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,J MANAGE INFORM SYST,0742-1222,1557-928X,7.582,Q1,11.67%,41,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,J NETW COMPUT APPL,1084-8045,1095-8592,7.574,Q1,4.44%,164,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,J NETW COMPUT APPL,1084-8045,1095-8592,7.574,Q1,4.44%,164,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,J NETW COMPUT APPL,1084-8045,1095-8592,7.574,Q1,4.44%,164,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,WIRES DATA MIN KNOWL,1942-4787,1942-4795,7.558,Q1,8.33%,11,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,WIRES DATA MIN KNOWL,1942-4787,1942-4795,7.558,Q1,8.33%,11,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
INFORMATION PROCESSING & MANAGEMENT,INFORM PROCESS MANAG,0306-4573,1873-5371,7.466,Q1,6.34%,330,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
INFORMATION PROCESSING & MANAGEMENT,INFORM PROCESS MANAG,0306-4573,1873-5371,7.466,Q1,6.34%,330,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
Journal of Computer-Mediated Communication,J COMPUT-MEDIAT COMM,1083-6101,1083-6101,7.432,Q1,41.67%,28,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,COMPUT MED IMAG GRAP,0895-6111,1879-0771,7.422,Q1,8.46%,128,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,0730-0301,1557-7368,7.403,Q1,0%,284,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
NEUROIMAGE,NEUROIMAGE,1053-8119,1095-9572,7.4,Q1,74.23%,"1,147","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
Journal of Organizational and End User Computing,J ORGAN END USER COM,1546-2234,1546-5012,7.4,Q1,64.60%,66,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
Journal of Organizational and End User Computing,J ORGAN END USER COM,1546-2234,1546-5012,7.4,Q1,64.60%,66,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
Future Generation Computer Systems-The International Journal of eScience,FUTURE GENER COMP SY,0167-739X,1872-7115,7.307,Q1,3.68%,512,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
Advanced Intelligent Systems,ADV INTELL SYST-GER,N/A,2640-4567,7.298,Q1,85.90%,184,AUTOMATION & CONTROL SYSTEMS - SCIE
